song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kiss The Girl,Ashley Tisdale,8,77ltWp9xNbfhldXx3IEqVx,42,0.592,0.798,0,-3.196,1,0.0501,0.0654,0.0,0.144,0.369,130.026,204467,4
Kiss The Rain,Billie Myers,1,4wtHbIS26FOtpjMkaQQ8Zk,56,0.455,0.682,9,-6.996,1,0.041,0.00142,4.96e-05,0.162,0.283,177.997,270160,4
Kiss Them For Me,Siouxsie & The Banshees,2,3rW0ATGLT6kOUtfsIKygyI,51,0.6,0.949,7,-5.473,0,0.0556,0.187,0.00539,0.105,0.752,99.387,277147,4
Kiss This,Aaron Tippin,4,038jgLNIvp7QQNf5vILf5d,56,0.765,0.706,6,-5.477,0,0.026,0.047,4.25e-06,0.36,0.669,116.02,173760,4
Kiss This Thing Goodbye,Del Amitri,3,7DXJcM8STp1D7YiF6uN1Jq,27,0.687,0.535,7,-13.075,1,0.0327,0.108,0.0108,0.316,0.8,117.316,274507,4
Kiss Tomorrow Goodbye,Luke Bryan,2,3loYYWdPlLiUCq1jiSPfT6,70,0.571,0.937,5,-3.467,0,0.0365,0.0064,0.0,0.316,0.584,115.013,203133,4
Kiss You,One Direction,4,4My8w8AA1JpG6E5SiAPvJL,74,0.637,0.93,4,-2.632,1,0.0511,0.0177,0.0,0.452,0.886,90.014,182867,4
Kiss You (When It's Dangerous),Eight Seconds,7,7kr2ERTiInbHXCOHDhl2P9,33,0.675,0.638,4,-10.801,0,0.0289,0.0397,0.0672,0.0513,0.875,110.968,247693,4
Kiss You All Over,No Mercy,7,69DUJJ9xWtS12GOWDSq4XW,35,0.655,0.823,2,-10.03,1,0.0357,0.0276,0.00196,0.0578,0.768,110.924,274400,4
Kiss You Back,Digital Underground,3,765Ks9jjFndVzQdCoVLRwB,44,0.844,0.648,9,-10.685,0,0.113,0.0386,0.0,0.223,0.794,113.074,221467,4
Kiss You In The Morning,Michael Ray,5,6jRcSR1kOPWJYisvkFfjUV,46,0.557,0.909,11,-3.405,1,0.0423,0.00769,0.0,0.317,0.857,152.13,181400,4
"Kiss and Tell,Isley, Jasper", Isley,6,5Zi2tbxAaZQGkFWU8QdSqU,50,0.847,0.523,2,-6.585,0,0.0483,0.235,0.0,0.156,0.555,115.946,152185,3
Kisses Down Low,Kelly Rowland,7,4KhanrenBxgyXYkFCArMyd,52,0.632,0.723,5,-9.323,0,0.0682,0.0166,3.74e-05,0.104,0.243,137.958,254867,4
Kisses In The Night,Brandon,6,0wGSi3ATuhhyIk6DiY5A37,2,0.555,0.561,7,-13.054,1,0.0357,0.332,1.02e-06,0.113,0.557,155.113,271813,4
Kissin Game,Dion,8,3T4obVwhuRZkhVUepaFMf4,13,0.383,0.451,2,-8.626,1,0.0392,0.762,0.0,0.102,0.623,125.074,160827,4
Kissin U,Miranda Cosgrove,5,3pt4BDnaMo2vznoVSv7b2y,53,0.624,0.86,0,-3.129,0,0.043,0.0119,0.0,0.0598,0.521,110.018,199693,4
Kissin' Cousins,Elvis Presley With The Jordanaires,1,6kSg0raJ0yEoHPZIVMeSmj,27,0.61,0.612,6,-9.242,1,0.0401,0.589,0.0,0.298,0.962,84.858,134107,4
Kissin' On The Phone,Paul Anka,3,3vE7j4IdAF76ny5ziyhH5X,8,0.668,0.391,5,-11.947,1,0.0333,0.694,0.0,0.586,0.801,125.489,156627,4
Kissin' Time,KISS,8,5JifVj0BnV1Uwk57mAqgq1,33,0.489,0.841,6,-6.981,1,0.0723,0.036,9.12e-05,0.0995,0.926,122.93,232573,4
Kissin' Time,Bobby Rydell,1,2tQTQIJkKEdLkh2Nx6TsG3,25,0.64,0.92,0,-5.51,0,0.068,0.181,7.96e-06,0.283,0.93,94.971,132373,4
Kissin' You,Total,1,1e5DTpM1WeggytDXbphivX,56,0.746,0.493,11,-9.427,0,0.0997,0.302,0.00957,0.109,0.878,82.04,282333,4
Kissing My Love,Bill Withers,3,262qk9k0LTyMXmjH9YT2xU,56,0.825,0.526,1,-13.079,1,0.183,0.3,0.000152,0.0552,0.891,93.654,231044,4
Kissing The Wind,Nia Peeples,7,4ncg50aF3SpYUQ0kl21BHB,4,0.504,0.325,5,-16.522,0,0.0427,0.32,0.00114,0.11,0.567,113.374,346600,5
Kissing You,Keith Washington,3,6LqiE1yBBf9IuTxaTpTyiF,43,0.494,0.495,7,-8.855,1,0.0312,0.184,0.0,0.127,0.233,126.515,260013,4
Kitty Kitty,69 Boyz,5,4n8d6mjEugRMTBI7mjiHIY,32,0.777,0.901,11,-10.789,0,0.168,0.00106,0.0,0.428,0.577,133.011,248133,4
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,1,60IGhnH20N82dNxKnc8jDd,73,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4
Knight In Rusty Armour,Peter And Gordon,1,6pT33ADvrAnXzNUFvlrRdQ,20,0.549,0.618,11,-7.269,1,0.0431,0.503,0.0,0.194,0.683,135.991,158333,4
Knoc,Knoc-Turn'Al With Dr. Dre & Missy Misdemeanor Elliott,9,3byMEMdaRI4WcFcDDHG7e7,46,0.911,0.663,6,-6.872,0,0.278,0.0459,0.0,0.113,0.437,101.913,152941,4
Knock Knock,Mac Miller,8,0DCu6lwtdiVjMixpQJcGG3,66,0.682,0.934,4,-2.526,0,0.129,0.107,0.0,0.749,0.487,109.032,197929,4
Knock Knock,Monica,7,6Ln2tBK4EnNtMLtYyAZhr7,39,0.777,0.588,10,-8.651,1,0.373,0.414,4.79e-05,0.146,0.54,88.915,257653,4
Knock Knock Who's There,Mary Hopkin,9,51AuW2v7g8C7YdTfjc6txx,7,0.391,0.774,2,-7.642,1,0.0395,0.000794,0.0364,0.267,0.594,193.081,150326,4
Knock On Wood,Eddie Floyd,2,3YJx77Xx8JSwEoxqrkQO5c,62,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,189840,4
Knock On Wood,Otis & Carla,2,5Sx26i9lDxDHTOM5YvxVOt,42,0.75,0.384,4,-12.143,1,0.0537,0.0395,3.46e-05,0.121,0.894,124.641,172760,4
Knock! Knock! (Who's There?),The Orlons,6,1RdnFVwreBGgMyNn4DbFh8,9,0.645,0.898,7,-6.251,1,0.0595,0.353,5.24e-06,0.622,0.791,97.775,139400,4
Knock-N-Boots,Wreckx-N-Effect,7,0UxEiVVQuhje4Tnmw6Yijl,17,0.849,0.848,8,-5.636,0,0.284,0.149,0.0,0.0746,0.626,103.778,291027,4
Knocked Off,YoungBoy Never Broke Again,5,7MYFKS7XpVz1JQDK38pr8N,56,0.752,0.653,6,-4.607,0,0.293,0.0647,0.0,0.125,0.569,165.046,127983,4
Knocked Out,Paula Abdul,4,7xHYQboEmdZXWuXpJf9h30,36,0.731,0.779,1,-9.126,0,0.0454,0.00468,0.00134,0.0525,0.954,116.233,231921,4
Knockin' Boots,Luke Bryan,3,2opQESZb7JsRKCvWMBPeuv,65,0.728,0.682,2,-3.749,1,0.218,0.127,0.0,0.337,0.643,131.901,200067,4
Knockin' On Heaven's Door,Bob Dylan,1,6HSXNV0b4M4cLJ7ljgVVeh,74,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,149880,4
Knocking At Your Back Door,Deep Purple,6,1VJBQdDrOblSLmoZMeh1xh,52,0.524,0.818,11,-6.701,0,0.0406,0.000915,4.47e-05,0.0916,0.525,121.699,425200,4
Knockout,Lil Wayne Featuring Nicki Minaj,4,5VSp0XbyCq5IzNcfPL5X0t,34,0.488,0.821,7,-3.729,1,0.0482,0.00263,0.000514,0.287,0.354,159.992,249307,4
Knocks Me Off My Feet,Donell Jones,4,4o1E2c0ye1RlIJJqOM0dqP,55,0.469,0.594,7,-8.209,1,0.0403,0.0663,0.0,0.0806,0.485,167.223,222760,4
Know My Rights,6LACK Featuring Lil Baby,7,7fsNNSLGG8Wi0nFbufCU6L,61,0.789,0.419,1,-9.874,0,0.157,0.249,0.0257,0.123,0.542,117.988,194396,4
"Know No Better,Major Lazer Featuring Travis Scott", Camila Cabello & Quavo,8,6BKeNWeUqxmvQ09Gxd3ZGX,57,0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,225850,4
Know What You Mean,Sister 7,7,4AuZUWaZQU6PPuMdcnpxC6,39,0.61,0.79,1,-6.986,0,0.032,0.00666,0.0383,0.12,0.933,141.962,174775,4
Know Your Enemy,Green Day,2,5qtwzv99vOr5UTwnTixn7j,64,0.56,0.958,11,-3.245,1,0.0412,0.0016,4.96e-05,0.0643,0.961,129.984,190987,4
Know Your Worth,Khalid x Disclosure,5,0TrPqhAMoaKUFLR7iYDokf,69,0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007,181436,4
Know Yourself,Drake,5,5InOp6q2vvx0fShv3bzFLZ,68,0.72,0.412,11,-8.687,0,0.223,0.196,0.0,0.342,0.179,114.408,275840,4
"Knowing Me, Knowing You",ABBA,1,798cuJeotvXP8UVa8GJPnD,65,0.546,0.733,2,-7.073,1,0.0299,0.0399,1.11e-06,0.235,0.91,107.285,241920,4
Knowing You,Kenny Chesney,5,2EEfUuBRZA4Ax1vYcluFS0,60,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,226267,3
Knuck If You Buck,Crime Mob Featuring Lil Scrappy,7,0RZXNlGPvfMo54fd6uCvAT,61,0.865,0.844,8,-4.946,1,0.311,0.0582,0.0,0.373,0.755,150.09,205120,4
Knucklehead,Bar-Kays,7,3rN3zXW9wbS9hRRGm9HrGv,14,0.754,0.388,2,-14.855,1,0.0482,0.315,0.856,0.123,0.947,129.653,142667,4
Ko-Ko Joe,Jerry Reed,5,1g5H73XQGbJQe87Rg5tnKx,24,0.723,0.868,9,-7.451,1,0.0427,0.415,2.62e-06,0.309,0.837,102.836,152733,4
Kokomo,The Flamingos,9,5qHYXcVvc9xsFB2uH7GpMN,72,0.682,0.635,0,-10.05,1,0.0346,0.00863,0.0,0.137,0.927,115.584,217693,4
Kommotion,Duane Eddy,7,7z2ahT0htzgYLlq0wmxHdR,4,0.567,0.749,2,-8.817,1,0.0399,9.7e-05,0.791,0.123,0.731,119.264,177573,4
Kong,Dickie Goodman,4,1PM9c2ga6D6GELvOOc3nqe,3,0.675,0.72,1,-4.571,1,0.433,0.922,0.0,0.33,0.672,92.64,142267,4
Kooda,6ix9ine,4,0tYHqwTW4s6VuPWDSD7n7K,60,0.885,0.641,1,-4.455,1,0.351,0.175,0.0,0.234,0.201,91.167,142582,4
Kookie Little Paradise,The Tree Swingers,7,6j23n1z1mVbxoIwvrMxT5J,27,0.756,0.416,6,-12.999,0,0.0798,0.298,0.815,0.135,0.536,153.975,118264,4
Kool And The Gang,Kool & The Gang,5,3GdvI6fsbGQXkYR2xoMLQ3,31,0.61,0.782,0,-10.137,1,0.0554,0.235,0.388,0.239,0.704,135.504,178013,4
Kozmic Blues,Janis Joplin,4,7eYYxblNEZKKeTT0HBQbXO,55,0.338,0.62,7,-8.22,1,0.0455,0.737,0.267,0.624,0.5,176.922,261893,3
